"id"|"paymentDue"|"amount"|"name"|"address"|"consumption"
14110|"02-03-2022"|31413.312|"Emory Collough"|"St 000 No 982 99"|20.034
14774|"21-01-2022"|96161.36|"Yoshi Tims"|"St 000 No 396 19"|16.354
14125|"02-03-2022"|14381.696|"Caryn McCoish"|"Av 217 No 000 57"|9.172
14532|"31-01-2022"|21238.506|"Vail Devote"|"Av 552 No 002 93"|5.418
14770|"21-01-2022"|87494.25|"Kinsley de Vaen"|"Av 077 No 003 44"|14.88
14042|"02-03-2022"|41307.39|"Rogerio Ebbers"|"St 003 No 736 07"|26.344
14014|"02-03-2022"|19535.713|"Ingelbert Udall"|"St 004 No 837 34"|12.459
14254|"20-02-2022"|59785.234|"Joceline Rucklesse"|"St 005 No 439 08"|25.419
14371|"10-02-2022"|56207.246|"Louisa Ringsell"|"St 005 No 603 51"|16.387
14402|"10-02-2022"|59990.523|"Aubert Casbon"|"St 006 No 366 37"|17.49
14766|"21-01-2022"|79550.38|"Allene Ewer"|"Av 129 No 007 42"|13.529
14616|"31-01-2022"|50238.594|"Ellyn Postin"|"Av 545 No 007 08"|12.816
14676|"31-01-2022"|63789.996|"Michele Cringle"|"Av 692 No 008 53"|16.273
14505|"10-02-2022"|30828.75|"Tina McCerery"|"St 008 No 318 59"|8.988
14345|"20-02-2022"|23082.43|"Sibylla Ridger"|"Av 298 No 008 42"|9.814
14356|"20-02-2022"|24470.104|"Tucky Duetsche"|"St 011 No 138 94"|10.404
14255|"20-02-2022"|48502.74|"Allene Brand-Hardy"|"St 011 No 669 97"|20.622
14709|"21-01-2022"|46469.562|"Mason Blackborough"|"St 012 No 469 45"|7.903
14536|"31-01-2022"|48066.918|"Mildred M'Chirrie"|"St 014 No 545 09"|12.262
14256|"20-02-2022"|70110.47|"Binnie Schwant"|"St 015 No 891 66"|29.809
14134|"02-03-2022"|43519.84|"Beverlee Peers"|"Av 485 No 018 66"|27.755
14687|"21-01-2022"|158142.33|"Noelani Bennell"|"St 018 No 192 81"|26.895
14959|"16-01-2022"|80689.02|"Sylvester Heffernan"|"Av 714 No 019 36"|12.865
14444|"10-02-2022"|86061.88|"Vicky Ponder"|"St 019 No 808 95"|25.091
14584|"31-01-2022"|106321.89|"Korey Cereceres"|"Av 251 No 021 92"|27.123
14680|"21-01-2022"|117100.0|"Rod Waghorne"|"St 029 No 845 99"|19.915
14281|"20-02-2022"|53044.43|"Lil Latchmore"|"St 031 No 181 33"|22.553
14461|"10-02-2022"|73038.21|"Constancy Himpson"|"St 032 No 571 65"|21.294
14213|"20-02-2022"|42893.242|"Rasla Francino"|"St 032 No 159 30"|18.237
14790|"21-01-2022"|131447.17|"Ricky Coleyshaw"|"Av 052 No 033 40"|22.355
14160|"02-03-2022"|31011.904|"Obie Tanti"|"St 033 No 068 01"|19.778
14690|"21-01-2022"|54278.188|"Elsey Gronno"|"St 035 No 685 49"|9.231
14450|"10-02-2022"|64072.215|"Clarie Boyall"|"St 036 No 175 88"|18.68
14874|"16-01-2022"|79202.56|"Bartholomeus Benger"|"Av 595 No 038 24"|12.628
14517|"10-02-2022"|91889.43|"Alidia Lawden"|"St 038 No 135 09"|26.79
14148|"02-03-2022"|23828.896|"Howie Jeeks"|"St 039 No 048 30"|15.197
14385|"10-02-2022"|79589.484|"Cornall Elverstone"|"St 039 No 424 67"|23.204
14112|"02-03-2022"|40677.055|"Nannie Lernihan"|"Av 705 No 039 48"|25.942
14855|"16-01-2022"|99680.58|"Kessia Von Oertzen"|"Av 258 No 041 08"|15.893
14496|"10-02-2022"|89286.07|"Ranice Tidmarsh"|"Av 464 No 042 42"|26.031
14949|"16-01-2022"|73338.266|"Brion Wille"|"Av 439 No 044 54"|11.693
14199|"20-02-2022"|31620.154|"Talbot Pray"|"St 044 No 388 89"|13.444
14229|"20-02-2022"|29743.266|"Gloriane Seccombe"|"Av 788 No 045 90"|12.646
14507|"10-02-2022"|102443.51|"Raimundo Fadden"|"St 047 No 198 25"|29.867
14318|"20-02-2022"|67916.06|"Hagan De Filippi"|"St 047 No 302 84"|28.876
14336|"20-02-2022"|64783.21|"Kora Walhedd"|"Av 587 No 047 40"|27.544
14223|"20-02-2022"|49415.31|"Dwight Corteney"|"St 047 No 877 96"|21.01
14478|"10-02-2022"|29789.463|"Charity Gayton"|"St 048 No 678 81"|8.685
14409|"10-02-2022"|89903.47|"Tatiania Giacubo"|"Av 421 No 048 32"|26.211
14910|"16-01-2022"|125207.54|"Stephani Snoxill"|"St 049 No 492 55"|19.963
14731|"21-01-2022"|89740.41|"Court Vampouille"|"St 050 No 248 54"|15.262
14710|"21-01-2022"|57594.504|"Giselle Dashkov"|"Av 888 No 052 91"|9.795
14964|"16-01-2022"|46964.586|"Torrie Thebeau"|"Av 157 No 052 29"|7.488
14028|"02-03-2022"|32741.408|"Kamilah Kyne"|"St 054 No 675 20"|20.881
14147|"02-03-2022"|27292.607|"Shirlee Laherty"|"Av 020 No 056 90"|17.406
14872|"16-01-2022"|159653.25|"Jobye Southgate"|"Av 587 No 057 82"|25.455
14278|"20-02-2022"|42159.42|"Sybyl Keme"|"St 058 No 994 77"|17.925
14651|"31-01-2022"|111033.72|"Farly Foucar"|"Av 659 No 059 94"|28.325
14191|"20-02-2022"|12712.506|"Duncan Sylett"|"St 060 No 416 67"|5.405
14330|"20-02-2022"|27765.242|"Rodrick Ashbee"|"Av 278 No 060 38"|11.805
14447|"10-02-2022"|29336.705|"Karol Pritchard"|"Av 654 No 062 78"|8.553
14157|"02-03-2022"|11673.76|"Bernarr Titman"|"St 063 No 688 63"|7.445
14738|"21-01-2022"|117934.96|"Yvon Currm"|"St 064 No 330 52"|20.057
14979|"16-01-2022"|185123.77|"Marve Armitt"|"Av 278 No 064 39"|29.516
14955|"16-01-2022"|49755.617|"Pryce Grewar"|"Av 895 No 066 88"|7.933
14471|"10-02-2022"|19554.373|"Mei Mechi"|"St 067 No 815 48"|5.701
14398|"10-02-2022"|52303.918|"Caye Rice"|"Av 598 No 069 20"|15.249
14670|"31-01-2022"|55334.58|"Herb Feldmark"|"St 069 No 642 56"|14.116
14362|"10-02-2022"|25560.285|"Addie Kenlin"|"St 072 No 894 99"|7.452
14459|"10-02-2022"|41053.55|"Jane Keneford"|"St 072 No 853 68"|11.969
14823|"21-01-2022"|104522.7|"Elbert Springer"|"St 074 No 377 60"|17.776
14024|"02-03-2022"|29379.615|"Gleda Wornum"|"St 075 No 031 11"|18.737
14752|"21-01-2022"|49844.676|"Mead Freke"|"St 079 No 138 93"|8.477
14962|"16-01-2022"|54083.285|"Cilka Ricket"|"Av 660 No 079 47"|8.623
14882|"16-01-2022"|92003.67|"Amabelle Langrick"|"St 080 No 988 83"|14.669
14334|"20-02-2022"|57430.89|"Tann Dysert"|"St 080 No 639 18"|24.418
14212|"20-02-2022"|65317.113|"Kipper Madine"|"Av 181 No 081 38"|27.771
14265|"20-02-2022"|56892.285|"Moshe Braunston"|"Av 137 No 085 00"|24.189
14721|"21-01-2022"|56618.42|"Wyndham Bing"|"Av 152 No 085 70"|9.629
14624|"31-01-2022"|59031.13|"Chancey Heffernon"|"Av 495 No 085 54"|15.059
14121|"02-03-2022"|38657.473|"Donnell Wren"|"St 086 No 856 18"|24.654
14671|"31-01-2022"|116721.625|"Isadore Laible"|"Av 881 No 087 28"|29.776
14720|"21-01-2022"|133857.97|"Carroll Beall"|"St 088 No 796 94"|22.765
14685|"21-01-2022"|96737.59|"Lizzie Guiso"|"St 089 No 566 63"|16.452
14252|"20-02-2022"|26161.186|"Caryl Aireton"|"Av 486 No 095 92"|11.123
14861|"16-01-2022"|111177.12|"Oby Shearmer"|"St 097 No 238 26"|17.726
14082|"02-03-2022"|11471.488|"Cristine Tabner"|"Av 896 No 097 72"|7.316
14344|"20-02-2022"|39322.92|"Tyson MacCartan"|"Av 842 No 098 95"|16.719
14729|"21-01-2022"|100530.19|"Tonya Glowacz"|"St 098 No 764 69"|17.097
14924|"16-01-2022"|144199.1|"Cody Osbiston"|"St 098 No 397 27"|22.991
14987|"16-01-2022"|111923.484|"Blayne Yedall"|"St 099 No 420 43"|17.845
14146|"02-03-2022"|8188.096|"Kennedy Randleson"|"St 099 No 550 31"|5.222
14971|"16-01-2022"|132200.8|"Shaylah Hurst"|"St 100 No 211 52"|21.078
14826|"21-01-2022"|132064.58|"Reena Churly"|"St 102 No 436 00"|22.46
14394|"10-02-2022"|101510.555|"Elise Meffen"|"St 102 No 232 67"|29.595
14618|"31-01-2022"|20505.467|"Baudoin Chapelhow"|"St 104 No 961 10"|5.231
