"id"|"paymentDue"|"amount"|"name"|"address"|"stratum"|"consumption"|"avgConsumption"|"last"
14110|"02-03-2022"|31413.312|"Emory Collough"|"St 000 No 982 99"|1|20.034|16.53|"16,807 6,101 26,69"
14774|"21-01-2022"|96161.36|"Yoshi Tims"|"St 000 No 396 19"|5|16.354|7.3|"6,082 5,014 10,81"
14125|"02-03-2022"|14381.696|"Caryn McCoish"|"Av 217 No 000 57"|1|9.172|22.56|"24,845 27,833 14,992"
14532|"31-01-2022"|21238.506|"Vail Devote"|"Av 552 No 002 93"|4|5.418|15.94|"27,216 12,614 7,979"
14770|"21-01-2022"|87494.25|"Kinsley de Vaen"|"Av 077 No 003 44"|5|14.88|29.05|"28,07 29,11 29,971"
14042|"02-03-2022"|41307.39|"Rogerio Ebbers"|"St 003 No 736 07"|1|26.344|17.93|"22,136 7,319 24,326"
14014|"02-03-2022"|19535.713|"Ingelbert Udall"|"St 004 No 837 34"|1|12.459|14.26|"17,693 18,538 6,548"
14254|"20-02-2022"|59785.234|"Joceline Rucklesse"|"St 005 No 439 08"|2|25.419|20.07|"18,56 25,437 16,226"
14371|"10-02-2022"|56207.246|"Louisa Ringsell"|"St 005 No 603 51"|3|16.387|17.52|"26,011 5,997 20,564"
14402|"10-02-2022"|59990.523|"Aubert Casbon"|"St 006 No 366 37"|3|17.49|26.99|"29,117 25,163 26,704"
14766|"21-01-2022"|79550.38|"Allene Ewer"|"Av 129 No 007 42"|5|13.529|20.78|"26,207 22,43 13,709"
14616|"31-01-2022"|50238.594|"Ellyn Postin"|"Av 545 No 007 08"|4|12.816|19.12|"18,493 9,598 29,26"
14676|"31-01-2022"|63789.996|"Michele Cringle"|"Av 692 No 008 53"|4|16.273|18.51|"18,441 10,556 26,53"
14505|"10-02-2022"|30828.75|"Tina McCerery"|"St 008 No 318 59"|3|8.988|20.54|"13,008 21,945 26,666"
14345|"20-02-2022"|23082.43|"Sibylla Ridger"|"Av 298 No 008 42"|2|9.814|13.25|"16,721 5,933 17,106"
14356|"20-02-2022"|24470.104|"Tucky Duetsche"|"St 011 No 138 94"|2|10.404|21.15|"7,527 26,231 29,705"
14255|"20-02-2022"|48502.74|"Allene Brand-Hardy"|"St 011 No 669 97"|2|20.622|15.09|"8,37 11,37 25,538"
14709|"21-01-2022"|46469.562|"Mason Blackborough"|"St 012 No 469 45"|5|7.903|10.17|"5,241 17,934 7,34"
14536|"31-01-2022"|48066.918|"Mildred M'Chirrie"|"St 014 No 545 09"|4|12.262|12.25|"9,941 20,758 6,048"
14256|"20-02-2022"|70110.47|"Binnie Schwant"|"St 015 No 891 66"|2|29.809|21.05|"15,65 29,227 18,276"
14134|"02-03-2022"|43519.84|"Beverlee Peers"|"Av 485 No 018 66"|1|27.755|12.28|"12,499 7,483 16,87"
14687|"21-01-2022"|158142.33|"Noelani Bennell"|"St 018 No 192 81"|5|26.895|13.56|"12,848 12,028 15,798"
14959|"16-01-2022"|80689.02|"Sylvester Heffernan"|"Av 714 No 019 36"|6|12.865|22.59|"25,547 28,18 14,041"
14444|"10-02-2022"|86061.88|"Vicky Ponder"|"St 019 No 808 95"|3|25.091|18.68|"24,973 24,962 6,09"
14584|"31-01-2022"|106321.89|"Korey Cereceres"|"Av 251 No 021 92"|4|27.123|19.2|"14,84 28,217 14,539"
14680|"21-01-2022"|117100.0|"Rod Waghorne"|"St 029 No 845 99"|5|19.915|24.33|"25,728 17,764 29,483"
14281|"20-02-2022"|53044.43|"Lil Latchmore"|"St 031 No 181 33"|2|22.553|17.57|"24,584 16,614 11,507"
14461|"10-02-2022"|73038.21|"Constancy Himpson"|"St 032 No 571 65"|3|21.294|22.39|"14,109 23,252 29,802"
