"id"|"paymentDue"|"amount"|"name"|"address"|"consumption"|"avgConsumption"|"last"
2960|"02-03-2022"|31413.312|"Emory Collough"|"St 000 No 982 99"|20.034|16.81|"16,807"
2800|"21-01-2022"|96161.36|"Yoshi Tims"|"St 000 No 396 19"|16.354|6.08|"6,082"
2352|"02-03-2022"|14381.696|"Caryn McCoish"|"Av 217 No 000 57"|9.172|24.85|"24,845"
2365|"31-01-2022"|21238.506|"Vail Devote"|"Av 552 No 002 93"|5.418|27.22|"27,216"
2599|"21-01-2022"|87494.25|"Kinsley de Vaen"|"Av 077 No 003 44"|14.88|28.07|"28,07"
2843|"02-03-2022"|41307.39|"Rogerio Ebbers"|"St 003 No 736 07"|26.344|22.14|"22,136"
2715|"02-03-2022"|19535.713|"Ingelbert Udall"|"St 004 No 837 34"|12.459|17.69|"17,693"
2831|"20-02-2022"|59785.234|"Joceline Rucklesse"|"St 005 No 439 08"|25.419|18.56|"18,56"
2804|"10-02-2022"|56207.246|"Louisa Ringsell"|"St 005 No 603 51"|16.387|26.01|"26,011"
2985|"10-02-2022"|59990.523|"Aubert Casbon"|"St 006 No 366 37"|17.49|29.12|"29,117"
2356|"21-01-2022"|79550.38|"Allene Ewer"|"Av 129 No 007 42"|13.529|26.21|"26,207"
2523|"31-01-2022"|50238.594|"Ellyn Postin"|"Av 545 No 007 08"|12.816|18.49|"18,493"
2312|"31-01-2022"|63789.996|"Michele Cringle"|"Av 692 No 008 53"|16.273|18.44|"18,441"
2135|"10-02-2022"|30828.75|"Tina McCerery"|"St 008 No 318 59"|8.988|13.01|"13,008"
2625|"20-02-2022"|23082.43|"Sibylla Ridger"|"Av 298 No 008 42"|9.814|16.72|"16,721"
2851|"20-02-2022"|24470.104|"Tucky Duetsche"|"St 011 No 138 94"|10.404|7.53|"7,527"
2935|"20-02-2022"|48502.74|"Allene Brand-Hardy"|"St 011 No 669 97"|20.622|8.37|"8,37"
2650|"21-01-2022"|46469.562|"Mason Blackborough"|"St 012 No 469 45"|7.903|5.24|"5,241"
2756|"31-01-2022"|48066.918|"Mildred M'Chirrie"|"St 014 No 545 09"|12.262|9.94|"9,941"
2026|"20-02-2022"|70110.47|"Binnie Schwant"|"St 015 No 891 66"|29.809|15.65|"15,65"
2284|"02-03-2022"|43519.84|"Beverlee Peers"|"Av 485 No 018 66"|27.755|12.5|"12,499"
2778|"21-01-2022"|158142.33|"Noelani Bennell"|"St 018 No 192 81"|26.895|12.85|"12,848"
2173|"16-01-2022"|80689.02|"Sylvester Heffernan"|"Av 714 No 019 36"|12.865|25.55|"25,547"
2952|"10-02-2022"|86061.88|"Vicky Ponder"|"St 019 No 808 95"|25.091|24.97|"24,973"
2344|"31-01-2022"|106321.89|"Korey Cereceres"|"Av 251 No 021 92"|27.123|14.84|"14,84"
2102|"21-01-2022"|117100.0|"Rod Waghorne"|"St 029 No 845 99"|19.915|25.73|"25,728"
2647|"20-02-2022"|53044.43|"Lil Latchmore"|"St 031 No 181 33"|22.553|24.58|"24,584"
2095|"10-02-2022"|73038.21|"Constancy Himpson"|"St 032 No 571 65"|21.294|14.11|"14,109"
2062|"20-02-2022"|42893.242|"Rasla Francino"|"St 032 No 159 30"|18.237|29.93|"29,93"
2261|"21-01-2022"|131447.17|"Ricky Coleyshaw"|"Av 052 No 033 40"|22.355|23.53|"23,534"
2104|"02-03-2022"|31011.904|"Obie Tanti"|"St 033 No 068 01"|19.778|24.71|"24,711"
2106|"21-01-2022"|54278.188|"Elsey Gronno"|"St 035 No 685 49"|9.231|7.14|"7,144"
2840|"10-02-2022"|64072.215|"Clarie Boyall"|"St 036 No 175 88"|18.68|28.41|"28,414"
2210|"16-01-2022"|79202.56|"Bartholomeus Benger"|"Av 595 No 038 24"|12.628|28.09|"28,093"
2825|"10-02-2022"|91889.43|"Alidia Lawden"|"St 038 No 135 09"|26.79|26.35|"26,345"
2807|"02-03-2022"|23828.896|"Howie Jeeks"|"St 039 No 048 30"|15.197|22.61|"22,605"
2936|"10-02-2022"|79589.484|"Cornall Elverstone"|"St 039 No 424 67"|23.204|14.61|"14,606"
2543|"02-03-2022"|40677.055|"Nannie Lernihan"|"Av 705 No 039 48"|25.942|6.25|"6,246"
2235|"16-01-2022"|99680.58|"Kessia Von Oertzen"|"Av 258 No 041 08"|15.893|22.01|"22,009"
2198|"10-02-2022"|89286.07|"Ranice Tidmarsh"|"Av 464 No 042 42"|26.031|26.21|"26,214"
2162|"16-01-2022"|73338.266|"Brion Wille"|"Av 439 No 044 54"|11.693|12.99|"12,994"
2774|"20-02-2022"|31620.154|"Talbot Pray"|"St 044 No 388 89"|13.444|26.29|"26,287"
2554|"20-02-2022"|29743.266|"Gloriane Seccombe"|"Av 788 No 045 90"|12.646|28.79|"28,794"
2668|"10-02-2022"|102443.51|"Raimundo Fadden"|"St 047 No 198 25"|29.867|24.05|"24,048"
2079|"20-02-2022"|67916.06|"Hagan De Filippi"|"St 047 No 302 84"|28.876|6.62|"6,621"
2468|"20-02-2022"|64783.21|"Kora Walhedd"|"Av 587 No 047 40"|27.544|26.84|"26,839"
2047|"20-02-2022"|49415.31|"Dwight Corteney"|"St 047 No 877 96"|21.01|5.81|"5,811"
2028|"10-02-2022"|29789.463|"Charity Gayton"|"St 048 No 678 81"|8.685|14.44|"14,439"
