"id"|"paymentDue"|"amount"|"name"|"address"|"consumption"|"avgConsumption"|"last"
17147|"31-05-2022"|12674.144|"Emory Collough"|"St 000 No 982 99"|8.083|16.53|"16,807 6,101 26,69"
17732|"21-04-2022"|77709.945|"Yoshi Tims"|"St 000 No 396 19"|13.216|7.3|"6,082 5,014 10,81"
17014|"31-05-2022"|35182.785|"Caryn McCoish"|"Av 217 No 000 57"|22.438|22.56|"24,845 27,833 14,992"
17609|"01-05-2022"|40058.38|"Vail Devote"|"Av 552 No 002 93"|10.219|15.94|"27,216 12,614 7,979"
17789|"21-04-2022"|140702.28|"Kinsley de Vaen"|"Av 077 No 003 44"|23.929|29.05|"28,07 29,11 29,971"
17077|"31-05-2022"|8073.632|"Rogerio Ebbers"|"St 003 No 736 07"|5.149|17.93|"22,136 7,319 24,326"
17006|"31-05-2022"|41939.297|"Ingelbert Udall"|"St 004 No 837 34"|26.747|14.26|"17,693 18,538 6,548"
17229|"21-05-2022"|68050.125|"Joceline Rucklesse"|"St 005 No 439 08"|28.933|20.07|"18,56 25,437 16,226"
17504|"11-05-2022"|71107.125|"Louisa Ringsell"|"St 005 No 603 51"|20.731|17.52|"26,011 5,997 20,564"
17437|"11-05-2022"|95103.336|"Aubert Casbon"|"St 006 No 366 37"|27.727|26.99|"29,117 25,163 26,704"
17719|"21-04-2022"|65714.766|"Allene Ewer"|"Av 129 No 007 42"|11.176|20.78|"26,207 22,43 13,709"
17645|"01-05-2022"|111123.875|"Ellyn Postin"|"Av 545 No 007 08"|28.348|19.12|"18,493 9,598 29,26"
17581|"01-05-2022"|72374.77|"Michele Cringle"|"Av 692 No 008 53"|18.463|18.51|"18,441 10,556 26,53"
17403|"11-05-2022"|91865.42|"Tina McCerery"|"St 008 No 318 59"|26.783|20.54|"13,008 21,945 26,666"
17299|"21-05-2022"|16983.72|"Sibylla Ridger"|"Av 298 No 008 42"|7.221|13.25|"16,721 5,933 17,106"
17230|"21-05-2022"|53853.516|"Tucky Duetsche"|"St 011 No 138 94"|22.897|21.15|"7,527 26,231 29,705"
17308|"21-05-2022"|33856.895|"Allene Brand-Hardy"|"St 011 No 669 97"|14.395|15.09|"8,37 11,37 25,538"
17841|"21-04-2022"|165604.03|"Mason Blackborough"|"St 012 No 469 45"|28.164|10.17|"5,241 17,934 7,34"
17612|"01-05-2022"|59332.97|"Mildred M'Chirrie"|"St 014 No 545 09"|15.136|12.25|"9,941 20,758 6,048"
17341|"21-05-2022"|62151.336|"Binnie Schwant"|"St 015 No 891 66"|26.425|21.05|"15,65 29,227 18,276"
17076|"31-05-2022"|15297.408|"Beverlee Peers"|"Av 485 No 018 66"|9.756|12.28|"12,499 7,483 16,87"
17796|"21-04-2022"|95232.32|"Noelani Bennell"|"St 018 No 192 81"|16.196|13.56|"12,848 12,028 15,798"
17953|"16-04-2022"|147836.84|"Sylvester Heffernan"|"Av 714 No 019 36"|23.571|22.59|"25,547 28,18 14,041"
17378|"11-05-2022"|51226.902|"Vicky Ponder"|"St 019 No 808 95"|14.935|18.68|"24,973 24,962 6,09"
17632|"01-05-2022"|38165.023|"Korey Cereceres"|"Av 251 No 021 92"|9.736|19.2|"14,84 28,217 14,539"
17703|"21-04-2022"|118722.875|"Rod Waghorne"|"St 029 No 845 99"|20.191|24.33|"25,728 17,764 29,483"
17263|"21-05-2022"|52966.816|"Lil Latchmore"|"St 031 No 181 33"|22.52|17.57|"24,584 16,614 11,507"
17517|"11-05-2022"|37887.668|"Constancy Himpson"|"St 032 No 571 65"|11.046|22.39|"14,109 23,252 29,802"
17253|"21-05-2022"|57440.3|"Rasla Francino"|"St 032 No 159 30"|24.422|23.67|"29,93 20,911 20,163"
17838|"21-04-2022"|34062.78|"Ricky Coleyshaw"|"Av 052 No 033 40"|5.793|17.76|"23,534 6,737 23,023"
17088|"31-05-2022"|37388.96|"Obie Tanti"|"St 033 No 068 01"|23.845|14.79|"24,711 12,714 6,938"
17782|"21-04-2022"|139673.28|"Elsey Gronno"|"St 035 No 685 49"|23.754|12.32|"7,144 13,918 15,902"
17388|"11-05-2022"|51360.67|"Clarie Boyall"|"St 036 No 175 88"|14.974|14.92|"28,414 10,88 5,456"
