"id"|"paymentDue"|"amount"|"name"|"address"|"consumption"|"avgConsumption"
6317|"30-08-2022"|13622.784|"Emory Collough"|"St 000 No 982 99"|8.688|16.05
6157|"21-07-2022"|169955.23|"Yoshi Tims"|"St 000 No 396 19"|28.904|14.75
6709|"30-08-2022"|31049.535|"Caryn McCoish"|"Av 217 No 000 57"|19.802|18.24
6722|"31-07-2022"|108803.24|"Vail Devote"|"Av 552 No 002 93"|27.756|13.6
6956|"21-07-2022"|122685.99|"Kinsley de Vaen"|"Av 077 No 003 44"|20.865|19.79
6200|"30-08-2022"|33309.023|"Rogerio Ebbers"|"St 003 No 736 07"|21.243|17.27
6072|"30-08-2022"|28465.473|"Ingelbert Udall"|"St 004 No 837 34"|18.154|18.89
6188|"20-08-2022"|13213.4795|"Joceline Rucklesse"|"St 005 No 439 08"|5.618|17.44
6161|"10-08-2022"|29926.662|"Louisa Ringsell"|"St 005 No 603 51"|8.725|17.6
6342|"10-08-2022"|82703.92|"Aubert Casbon"|"St 006 No 366 37"|24.112|22.85
6713|"21-07-2022"|79503.34|"Allene Ewer"|"Av 129 No 007 42"|13.521|16.83
6880|"31-07-2022"|57361.215|"Ellyn Postin"|"Av 545 No 007 08"|14.633|17.72
6669|"31-07-2022"|60763.766|"Michele Cringle"|"Av 692 No 008 53"|15.501|17.49
6492|"10-08-2022"|29844.344|"Tina McCerery"|"St 008 No 318 59"|8.701|18.13
6982|"20-08-2022"|46877.51|"Sibylla Ridger"|"Av 298 No 008 42"|19.931|12.83
6208|"20-08-2022"|38890.156|"Tucky Duetsche"|"St 011 No 138 94"|16.535|18.07
6292|"20-08-2022"|42204.11|"Allene Brand-Hardy"|"St 011 No 669 97"|17.944|16.23
6007|"21-07-2022"|130159.46|"Mason Blackborough"|"St 012 No 469 45"|22.136|15.91
6113|"31-07-2022"|41246.137|"Mildred M'Chirrie"|"St 014 No 545 09"|10.522|14.8
6383|"20-08-2022"|48719.12|"Binnie Schwant"|"St 015 No 891 66"|20.714|21.62
6641|"30-08-2022"|21545.889|"Beverlee Peers"|"Av 485 No 018 66"|13.741|18.12
6135|"21-07-2022"|92357.0|"Noelani Bennell"|"St 018 No 192 81"|15.707|14.75
6530|"16-07-2022"|112544.41|"Sylvester Heffernan"|"Av 714 No 019 36"|17.944|18.57
6309|"10-08-2022"|63890.42|"Vicky Ponder"|"St 019 No 808 95"|18.627|18.23
6701|"31-07-2022"|27530.09|"Korey Cereceres"|"Av 251 No 021 92"|7.023|17.66
6459|"21-07-2022"|85595.016|"Rod Waghorne"|"St 029 No 845 99"|14.557|20.12
6004|"20-08-2022"|39593.4|"Lil Latchmore"|"St 031 No 181 33"|16.834|20.03
6452|"10-08-2022"|23327.361|"Constancy Himpson"|"St 032 No 571 65"|6.801|18.96
6419|"20-08-2022"|45346.367|"Rasla Francino"|"St 032 No 159 30"|19.28|18.05
6618|"21-07-2022"|170425.62|"Ricky Coleyshaw"|"Av 052 No 033 40"|28.984|17.2
6461|"30-08-2022"|37341.92|"Obie Tanti"|"St 033 No 068 01"|23.815|18.33
6463|"21-07-2022"|105081.305|"Elsey Gronno"|"St 035 No 685 49"|17.871|18.76
6197|"10-08-2022"|93861.68|"Clarie Boyall"|"St 036 No 175 88"|27.365|16.78
6567|"16-07-2022"|33950.227|"Bartholomeus Benger"|"Av 595 No 038 24"|5.413|19.71
6182|"10-08-2022"|26273.723|"Alidia Lawden"|"St 038 No 135 09"|7.66|19.38
6164|"30-08-2022"|22704.64|"Howie Jeeks"|"St 039 No 048 30"|14.48|16.68
6293|"10-08-2022"|85578.25|"Cornall Elverstone"|"St 039 No 424 67"|24.95|20.04
6900|"30-08-2022"|44184.67|"Nannie Lernihan"|"Av 705 No 039 48"|28.179|20.92
6592|"16-07-2022"|69499.81|"Kessia Von Oertzen"|"Av 258 No 041 08"|11.081|17.86
6555|"10-08-2022"|101037.22|"Ranice Tidmarsh"|"Av 464 No 042 42"|29.457|22.36
6519|"16-07-2022"|62832.695|"Brion Wille"|"Av 439 No 044 54"|10.018|15.75
6131|"20-08-2022"|56772.336|"Talbot Pray"|"St 044 No 388 89"|24.138|15.22
6911|"20-08-2022"|39233.547|"Gloriane Seccombe"|"Av 788 No 045 90"|16.681|15.89
6025|"10-08-2022"|36433.355|"Raimundo Fadden"|"St 047 No 198 25"|10.622|18.07
6436|"20-08-2022"|50189.113|"Hagan De Filippi"|"St 047 No 302 84"|21.339|18.28
6825|"20-08-2022"|54860.168|"Kora Walhedd"|"Av 587 No 047 40"|23.325|20.12
6404|"20-08-2022"|63009.812|"Dwight Corteney"|"St 047 No 877 96"|26.79|18.22
6385|"10-08-2022"|62676.207|"Charity Gayton"|"St 048 No 678 81"|18.273|15.14
6831|"10-08-2022"|24123.12|"Tatiania Giacubo"|"Av 421 No 048 32"|7.033|18.24
6369|"16-07-2022"|107100.33|"Stephani Snoxill"|"St 049 No 492 55"|17.076|17.27
6298|"21-07-2022"|158154.1|"Court Vampouille"|"St 050 No 248 54"|26.897|20.07
6536|"21-07-2022"|122386.11|"Giselle Dashkov"|"Av 888 No 052 91"|20.814|13.98
6633|"16-07-2022"|45108.082|"Torrie Thebeau"|"Av 157 No 052 29"|7.192|14.78
6268|"30-08-2022"|15720.768|"Kamilah Kyne"|"St 054 No 675 20"|10.026|15.97
6503|"30-08-2022"|23523.137|"Shirlee Laherty"|"Av 020 No 056 90"|15.002|18.91
6862|"16-07-2022"|119349.51|"Jobye Southgate"|"Av 587 No 057 82"|19.029|17.79
6103|"20-08-2022"|62995.7|"Sybyl Keme"|"St 058 No 994 77"|26.784|18.64
6524|"31-07-2022"|95318.48|"Farly Foucar"|"Av 659 No 059 94"|24.316|23.02
6348|"20-08-2022"|66189.7|"Duncan Sylett"|"St 060 No 416 67"|28.142|16.42
6721|"20-08-2022"|13669.766|"Rodrick Ashbee"|"Av 278 No 060 38"|5.812|13.99
6802|"10-08-2022"|77751.016|"Karol Pritchard"|"Av 654 No 062 78"|22.668|18.34
6047|"30-08-2022"|9688.672|"Bernarr Titman"|"St 063 No 688 63"|6.179|17.49
6204|"21-07-2022"|32216.465|"Yvon Currm"|"St 064 No 330 52"|5.479|17.52
6593|"16-07-2022"|120146.05|"Marve Armitt"|"Av 278 No 064 39"|19.156|17.66
6929|"16-07-2022"|136961.23|"Pryce Grewar"|"Av 895 No 066 88"|21.837|16.6
6312|"10-08-2022"|35596.438|"Mei Mechi"|"St 067 No 815 48"|10.378|19.02
6998|"10-08-2022"|91759.09|"Caye Rice"|"Av 598 No 069 20"|26.752|20.12
