"id"|"paymentDue"|"amount"|"name"|"address"|"consumption"|"last"
23021|"30-11-2022"|41849.92|"Emory Collough"|"St 000 No 982 99"|26.69|"16,807 6,101 26,69 26,084 21,604"
23763|"21-10-2022"|63562.69|"Yoshi Tims"|"St 000 No 396 19"|10.81|"6,082 5,014 10,81 19,662 12,309"
23085|"30-11-2022"|23507.455|"Caryn McCoish"|"Av 217 No 000 57"|14.992|"24,845 27,833 14,992 25,424 22,189"
23668|"31-10-2022"|31277.6|"Vail Devote"|"Av 552 No 002 93"|7.979|"27,216 12,614 7,979 8,868 16,406"
23812|"21-10-2022"|176229.19|"Kinsley de Vaen"|"Av 077 No 003 44"|29.971|"28,07 29,11 29,971 9,53 19,01"
23061|"30-11-2022"|38143.168|"Rogerio Ebbers"|"St 003 No 736 07"|24.326|"22,136 7,319 24,326 26,142 25,758"
23150|"30-11-2022"|10267.264|"Ingelbert Udall"|"St 004 No 837 34"|6.548|"17,693 18,538 6,548 17,208 12,286"
23192|"20-11-2022"|38163.39|"Joceline Rucklesse"|"St 005 No 439 08"|16.226|"18,56 25,437 16,226 12,025 24,522"
23389|"10-11-2022"|70534.31|"Louisa Ringsell"|"St 005 No 603 51"|20.564|"26,011 5,997 20,564 16,149 12,138"
23415|"10-11-2022"|91594.45|"Aubert Casbon"|"St 006 No 366 37"|26.704|"29,117 25,163 26,704 22,424 25,545"
23811|"21-10-2022"|80608.78|"Allene Ewer"|"Av 129 No 007 42"|13.709|"26,207 22,43 13,709 10,533 12,766"
23537|"31-10-2022"|114698.91|"Ellyn Postin"|"Av 545 No 007 08"|29.26|"18,493 9,598 29,26 25,298 19,043"
23625|"31-10-2022"|103997.336|"Michele Cringle"|"Av 692 No 008 53"|26.53|"18,441 10,556 26,53 19,198 11,426"
23382|"10-11-2022"|91464.12|"Tina McCerery"|"St 008 No 318 59"|26.666|"13,008 21,945 26,666 22,949 24,527"
23311|"20-11-2022"|40233.14|"Sibylla Ridger"|"Av 298 No 008 42"|17.106|"16,721 5,933 17,106 8,547 13,705"
23195|"20-11-2022"|69865.86|"Tucky Duetsche"|"St 011 No 138 94"|29.705|"7,527 26,231 29,705 15,891 17,821"
23307|"20-11-2022"|60065.12|"Allene Brand-Hardy"|"St 011 No 669 97"|25.538|"8,37 11,37 25,538 26,295 18,325"
23802|"21-10-2022"|43159.125|"Mason Blackborough"|"St 012 No 469 45"|7.34|"5,241 17,934 7,34 29,102 14,621"
23602|"31-10-2022"|23708.1|"Mildred M'Chirrie"|"St 014 No 545 09"|6.048|"9,941 20,758 6,048 22,152 6,065"
23323|"20-11-2022"|42984.97|"Binnie Schwant"|"St 015 No 891 66"|18.276|"15,65 29,227 18,276 28,896 10,374"
23171|"30-11-2022"|26452.16|"Beverlee Peers"|"Av 485 No 018 66"|16.87|"12,499 7,483 16,87 22,218 18,554"
23734|"21-10-2022"|92892.08|"Noelani Bennell"|"St 018 No 192 81"|15.798|"12,848 12,028 15,798 6,568 15,767"
23913|"16-10-2022"|88064.875|"Sylvester Heffernan"|"Av 714 No 019 36"|14.041|"25,547 28,18 14,041 17,58 7,565"
23515|"10-11-2022"|20888.639|"Vicky Ponder"|"St 019 No 808 95"|6.09|"24,973 24,962 6,09 27,299 6,34"
23574|"31-10-2022"|56992.734|"Korey Cereceres"|"Av 251 No 021 92"|14.539|"14,84 28,217 14,539 26,711 19,191"
23810|"21-10-2022"|173359.75|"Rod Waghorne"|"St 029 No 845 99"|29.483|"25,728 17,764 29,483 17,193 18,753"
23244|"20-11-2022"|27064.35|"Lil Latchmore"|"St 031 No 181 33"|11.507|"24,584 16,614 11,507 14,771 29,592"
23402|"10-11-2022"|102220.56|"Constancy Himpson"|"St 032 No 571 65"|29.802|"14,109 23,252 29,802 25,585 17,322"
23339|"20-11-2022"|47423.176|"Rasla Francino"|"St 032 No 159 30"|20.163|"29,93 20,911 20,163 18,659 19,419"
23698|"21-10-2022"|135375.02|"Ricky Coleyshaw"|"Av 052 No 033 40"|23.023|"23,534 6,737 23,023 12,777 9,866"
23019|"30-11-2022"|10878.784|"Obie Tanti"|"St 033 No 068 01"|6.938|"24,711 12,714 6,938 8,221 14,092"
23816|"21-10-2022"|93503.6|"Elsey Gronno"|"St 035 No 685 49"|15.902|"7,144 13,918 15,902 25,038 16,932"
23394|"10-11-2022"|18714.025|"Clarie Boyall"|"St 036 No 175 88"|5.456|"28,414 10,88 5,456 19,24 18,764"
23850|"16-10-2022"|84477.3|"Bartholomeus Benger"|"Av 595 No 038 24"|13.469|"28,093 17,027 13,469 28,693 26,628"
23498|"10-11-2022"|54996.46|"Alidia Lawden"|"St 038 No 135 09"|16.034|"26,345 16,368 16,034 10,942 24,087"
23044|"30-11-2022"|40349.344|"Howie Jeeks"|"St 039 No 048 30"|25.733|"22,605 9,694 25,733 23,132 12,78"
23488|"10-11-2022"|61866.73|"Cornall Elverstone"|"St 039 No 424 67"|18.037|"14,606 29,094 18,037 25,885 28,681"
23009|"30-11-2022"|42850.305|"Nannie Lernihan"|"Av 705 No 039 48"|27.328|"6,246 27,977 27,328 17,282 27,249"
23910|"16-10-2022"|128023.66|"Kessia Von Oertzen"|"Av 258 No 041 08"|20.412|"22,009 16,524 20,412 22,097 27,705"
23506|"10-11-2022"|62535.58|"Ranice Tidmarsh"|"Av 464 No 042 42"|18.232|"26,214 22,779 18,232 29,001 25,171"
23864|"16-10-2022"|84207.6|"Brion Wille"|"Av 439 No 044 54"|13.426|"12,994 23,296 13,426 18,525 23,656"
23310|"20-11-2022"|25265.076|"Talbot Pray"|"St 044 No 388 89"|10.742|"26,287 17,212 10,742 25,9 23,927"
23237|"20-11-2022"|29392.818|"Gloriane Seccombe"|"Av 788 No 045 90"|12.497|"28,794 26,211 12,497 6,911 14,938"
23495|"10-11-2022"|90702.66|"Raimundo Fadden"|"St 047 No 198 25"|26.444|"24,048 21,003 26,444 20,338 11,514"
23280|"20-11-2022"|15217.375|"Hagan De Filippi"|"St 047 No 302 84"|6.47|"6,621 13,52 6,47 25,424 22,768"
23342|"20-11-2022"|57739.004|"Kora Walhedd"|"Av 587 No 047 40"|24.549|"26,839 18,32 24,549 13,767 26,91"
23337|"20-11-2022"|13373.415|"Dwight Corteney"|"St 047 No 877 96"|5.686|"5,811 22,748 5,686 10,283 16,404"
23368|"10-11-2022"|70314.8|"Charity Gayton"|"St 048 No 678 81"|20.5|"14,439 16,194 20,5 10,803 29,152"
23456|"10-11-2022"|21066.998|"Tatiania Giacubo"|"Av 421 No 048 32"|6.142|"11,739 29,171 6,142 20,817 29,536"
23975|"16-10-2022"|34382.996|"Stephani Snoxill"|"St 049 No 492 55"|5.482|"5,431 27,516 5,482 15,484 16,567"
23745|"21-10-2022"|73711.555|"Court Vampouille"|"St 050 No 248 54"|12.536|"22,884 25,434 12,536 28,544 27,386"
23693|"21-10-2022"|143013.11|"Giselle Dashkov"|"Av 888 No 052 91"|24.322|"6,356 5,695 24,322 15,278 15,996"
23932|"16-10-2022"|35336.336|"Torrie Thebeau"|"Av 157 No 052 29"|5.634|"12,578 10,898 5,634 23,595 10,549"
23071|"30-11-2022"|17920.672|"Kamilah Kyne"|"St 054 No 675 20"|11.429|"16,843 20,705 11,429 28,577 17,948"
23011|"30-11-2022"|30086.783|"Shirlee Laherty"|"Av 020 No 056 90"|19.188|"15,863 8,174 19,188 27,131 26,184"
23981|"16-10-2022"|151474.6|"Jobye Southgate"|"Av 587 No 057 82"|24.151|"29,085 10,08 24,151 6,685 25,256"
23302|"20-11-2022"|32720.885|"Sybyl Keme"|"St 058 No 994 77"|13.912|"7,64 11,527 13,912 19,457 24,517"
23529|"31-10-2022"|108129.01|"Farly Foucar"|"Av 659 No 059 94"|27.584|"28,984 18,133 27,584 18,747 28,856"
23327|"20-11-2022"|26850.318|"Duncan Sylett"|"St 060 No 416 67"|11.416|"8,763 13,644 11,416 11,015 12,255"
23182|"20-11-2022"|61372.83|"Rodrick Ashbee"|"Av 278 No 060 38"|26.094|"8,178 8,243 26,094 5,784 9,291"
23425|"10-11-2022"|73298.88|"Karol Pritchard"|"Av 654 No 062 78"|21.37|"6,743 20,364 21,37 13,464 9,899"
