"id"|"paymentDue"|"amount"|"name"|"address"|"stratum"|"consumption"|"avgConsumption"|"last"
9663|"30-11-2022"|41849.92|"Emory Collough"|"St 000 No 982 99"|1|26.69|16.05|"16,807 6,101 26,69 26,084 21,604 8,688 21,092 7,284 8,083 8,388 21,687 20,034"
9503|"21-10-2022"|63562.69|"Yoshi Tims"|"St 000 No 396 19"|5|10.81|14.75|"6,082 5,014 10,81 19,662 12,309 28,904 17,106 8,699 13,216 15,963 22,865 16,354"
9278|"30-11-2022"|23507.455|"Caryn McCoish"|"Av 217 No 000 57"|1|14.992|18.24|"24,845 27,833 14,992 25,424 22,189 19,802 9,01 8,031 22,438 10,985 24,18 9,172"
9291|"31-10-2022"|31277.6|"Vail Devote"|"Av 552 No 002 93"|4|7.979|13.6|"27,216 12,614 7,979 8,868 16,406 27,756 12,508 6,659 10,219 20,506 7,061 5,418"
9956|"21-10-2022"|176229.19|"Kinsley de Vaen"|"Av 077 No 003 44"|5|29.971|19.79|"28,07 29,11 29,971 9,53 19,01 20,865 27,202 17,621 23,929 12,118 5,232 14,88"
9546|"30-11-2022"|38143.168|"Rogerio Ebbers"|"St 003 No 736 07"|1|24.326|17.27|"22,136 7,319 24,326 26,142 25,758 21,243 17,751 8,882 5,149 5,038 17,151 26,344"
9418|"30-11-2022"|10267.264|"Ingelbert Udall"|"St 004 No 837 34"|1|6.548|18.89|"17,693 18,538 6,548 17,208 12,286 18,154 28,825 29,854 26,747 15,932 22,393 12,459"
9534|"20-11-2022"|38163.39|"Joceline Rucklesse"|"St 005 No 439 08"|2|16.226|17.44|"18,56 25,437 16,226 12,025 24,522 5,618 10,656 12,884 28,933 23,985 5,068 25,419"
9507|"10-11-2022"|70534.31|"Louisa Ringsell"|"St 005 No 603 51"|3|20.564|17.6|"26,011 5,997 20,564 16,149 12,138 8,725 9,888 29,369 20,731 22,216 23,047 16,387"
9688|"10-11-2022"|91594.45|"Aubert Casbon"|"St 006 No 366 37"|3|26.704|22.85|"29,117 25,163 26,704 22,424 25,545 24,112 26,089 12,574 27,727 23,612 13,618 17,49"
9282|"21-10-2022"|80608.78|"Allene Ewer"|"Av 129 No 007 42"|5|13.709|16.83|"26,207 22,43 13,709 10,533 12,766 13,521 25,934 12,327 11,176 22,101 17,68 13,529"
9880|"31-10-2022"|114698.91|"Ellyn Postin"|"Av 545 No 007 08"|4|29.26|17.72|"18,493 9,598 29,26 25,298 19,043 14,633 7,986 9,164 28,348 10,152 27,868 12,816"
9238|"31-10-2022"|103997.336|"Michele Cringle"|"Av 692 No 008 53"|4|26.53|17.49|"18,441 10,556 26,53 19,198 11,426 15,501 16,871 20,992 18,463 8,868 26,816 16,273"
9061|"10-11-2022"|91464.12|"Tina McCerery"|"St 008 No 318 59"|3|26.666|18.13|"13,008 21,945 26,666 22,949 24,527 8,701 17,633 20,815 26,783 10,583 14,916 8,988"
9982|"20-11-2022"|40233.14|"Sibylla Ridger"|"Av 298 No 008 42"|2|17.106|12.83|"16,721 5,933 17,106 8,547 13,705 19,931 11,233 12,237 7,221 17,767 13,79 9,814"
9554|"20-11-2022"|69865.86|"Tucky Duetsche"|"St 011 No 138 94"|2|29.705|18.07|"7,527 26,231 29,705 15,891 17,821 16,535 29,988 10,608 22,897 19,137 10,152 10,404"
9638|"20-11-2022"|60065.12|"Allene Brand-Hardy"|"St 011 No 669 97"|2|25.538|16.23|"8,37 11,37 25,538 26,295 18,325 17,944 21,864 7,401 14,395 13,283 9,32 20,622"
9353|"21-10-2022"|43159.125|"Mason Blackborough"|"St 012 No 469 45"|5|7.34|15.91|"5,241 17,934 7,34 29,102 14,621 22,136 12,769 15,288 28,164 20,138 10,262 7,903"
9459|"31-10-2022"|23708.1|"Mildred M'Chirrie"|"St 014 No 545 09"|4|6.048|14.8|"9,941 20,758 6,048 22,152 6,065 10,522 9,314 21,528 15,136 28,824 15,075 12,262"
9729|"20-11-2022"|42984.97|"Binnie Schwant"|"St 015 No 891 66"|2|18.276|21.62|"15,65 29,227 18,276 28,896 10,374 20,714 27,377 10,218 26,425 14,665 27,848 29,809"
9210|"30-11-2022"|26452.16|"Beverlee Peers"|"Av 485 No 018 66"|1|16.87|18.12|"12,499 7,483 16,87 22,218 18,554 13,741 25,819 27,766 9,756 29,116 5,823 27,755"
9481|"21-10-2022"|92892.08|"Noelani Bennell"|"St 018 No 192 81"|5|15.798|14.75|"12,848 12,028 15,798 6,568 15,767 15,707 14,009 8,935 16,196 11,744 20,461 26,895"
9099|"16-10-2022"|88064.875|"Sylvester Heffernan"|"Av 714 No 019 36"|6|14.041|18.57|"25,547 28,18 14,041 17,58 7,565 17,944 15,756 13,271 23,571 28,368 18,146 12,865"
9655|"10-11-2022"|20888.639|"Vicky Ponder"|"St 019 No 808 95"|3|6.09|18.23|"24,973 24,962 6,09 27,299 6,34 18,627 23,987 11,885 14,935 11,672 22,893 25,091"
9270|"31-10-2022"|56992.734|"Korey Cereceres"|"Av 251 No 021 92"|4|14.539|17.66|"14,84 28,217 14,539 26,711 19,191 7,023 22,122 7,422 9,736 28,051 6,888 27,123"
