"id"|"paymentDue"|"amount"|"name"|"address"|"consumption"
25094|"30-01-2023"|26353.377|"Emory Collough"|"St 000 No 982 99"|16.807
25750|"21-12-2022"|35762.098|"Yoshi Tims"|"St 000 No 396 19"|6.082
25132|"30-01-2023"|38956.96|"Caryn McCoish"|"Av 217 No 000 57"|24.845
25624|"31-12-2022"|106686.445|"Vail Devote"|"Av 552 No 002 93"|27.216
25679|"21-12-2022"|165051.31|"Kinsley de Vaen"|"Av 077 No 003 44"|28.07
25072|"30-01-2023"|34709.246|"Rogerio Ebbers"|"St 003 No 736 07"|22.136
25022|"30-01-2023"|27742.623|"Ingelbert Udall"|"St 004 No 837 34"|17.693
25340|"20-01-2023"|43652.934|"Joceline Rucklesse"|"St 005 No 439 08"|18.56
25430|"10-01-2023"|89217.47|"Louisa Ringsell"|"St 005 No 603 51"|26.011
25408|"10-01-2023"|99871.016|"Aubert Casbon"|"St 006 No 366 37"|29.117
25757|"21-12-2022"|154096.89|"Allene Ewer"|"Av 129 No 007 42"|26.207
25629|"31-12-2022"|72492.375|"Ellyn Postin"|"Av 545 No 007 08"|18.493
25569|"31-12-2022"|72288.54|"Michele Cringle"|"Av 692 No 008 53"|18.441
25494|"10-01-2023"|44617.31|"Tina McCerery"|"St 008 No 318 59"|13.008
25184|"20-01-2023"|39327.625|"Sibylla Ridger"|"Av 298 No 008 42"|16.721
25336|"20-01-2023"|17703.43|"Tucky Duetsche"|"St 011 No 138 94"|7.527
25289|"20-01-2023"|19686.156|"Allene Brand-Hardy"|"St 011 No 669 97"|8.37
25788|"21-12-2022"|30817.027|"Mason Blackborough"|"St 012 No 469 45"|5.241
25635|"31-12-2022"|38968.62|"Mildred M'Chirrie"|"St 014 No 545 09"|9.941
25356|"20-01-2023"|36808.645|"Binnie Schwant"|"St 015 No 891 66"|15.65
25069|"30-01-2023"|19598.432|"Beverlee Peers"|"Av 485 No 018 66"|12.499
25784|"21-12-2022"|75546.11|"Noelani Bennell"|"St 018 No 192 81"|12.848
25909|"16-12-2022"|160230.27|"Sylvester Heffernan"|"Av 714 No 019 36"|25.547
25371|"10-01-2023"|85657.14|"Vicky Ponder"|"St 019 No 808 95"|24.973
25606|"31-12-2022"|58172.652|"Korey Cereceres"|"Av 251 No 021 92"|14.84
25709|"21-12-2022"|151280.38|"Rod Waghorne"|"St 029 No 845 99"|25.728
25196|"20-01-2023"|57821.32|"Lil Latchmore"|"St 031 No 181 33"|24.584
25377|"10-01-2023"|48393.73|"Constancy Himpson"|"St 032 No 571 65"|14.109
25234|"20-01-2023"|70395.06|"Rasla Francino"|"St 032 No 159 30"|29.93
25820|"21-12-2022"|138379.69|"Ricky Coleyshaw"|"Av 052 No 033 40"|23.534
25129|"30-01-2023"|38746.848|"Obie Tanti"|"St 033 No 068 01"|24.711
25773|"21-12-2022"|42006.65|"Elsey Gronno"|"St 035 No 685 49"|7.144
25489|"10-01-2023"|97459.734|"Clarie Boyall"|"St 036 No 175 88"|28.414
25987|"16-12-2022"|176198.73|"Bartholomeus Benger"|"Av 595 No 038 24"|28.093
25495|"10-01-2023"|90363.086|"Alidia Lawden"|"St 038 No 135 09"|26.345
25036|"30-01-2023"|35444.64|"Howie Jeeks"|"St 039 No 048 30"|22.605
25414|"10-01-2023"|50098.434|"Cornall Elverstone"|"St 039 No 424 67"|14.606
25074|"30-01-2023"|9793.728|"Nannie Lernihan"|"Av 705 No 039 48"|6.246
25985|"16-12-2022"|138040.02|"Kessia Von Oertzen"|"Av 258 No 041 08"|22.009
25466|"10-01-2023"|89913.76|"Ranice Tidmarsh"|"Av 464 No 042 42"|26.214
25928|"16-12-2022"|81498.11|"Brion Wille"|"Av 439 No 044 54"|12.994
25331|"20-01-2023"|61826.76|"Talbot Pray"|"St 044 No 388 89"|26.287
25253|"20-01-2023"|67723.2|"Gloriane Seccombe"|"Av 788 No 045 90"|28.794
25406|"10-01-2023"|82484.4|"Raimundo Fadden"|"St 047 No 198 25"|24.048
25227|"20-01-2023"|15572.525|"Hagan De Filippi"|"St 047 No 302 84"|6.621
25322|"20-01-2023"|63125.06|"Kora Walhedd"|"Av 587 No 047 40"|26.839
25317|"20-01-2023"|13667.414|"Dwight Corteney"|"St 047 No 877 96"|5.811
25462|"10-01-2023"|49525.625|"Charity Gayton"|"St 048 No 678 81"|14.439
25440|"10-01-2023"|40264.652|"Tatiania Giacubo"|"Av 421 No 048 32"|11.739
